query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M02GAYKP	glycine hydroxymethyltransferase	K00600	"Glycine, serine and threonine metabolism"	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GAZ7U	"clathrin, heavy polypeptide"	K04646	Endocytosis	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GAZYM	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GB0KI	large subunit ribosomal protein L37e	K02922	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GB2DK	NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]	K03941	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M02GB3U8	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GB5OP	small subunit ribosomal protein S24e	K02974	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GBBBF	small subunit ribosomal protein S15Ae	K02957	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GBFKT	small subunit ribosomal protein S4e	K02987	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GBGGD	ribulose-bisphosphate carboxylase large chain	K01601	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GBJI0	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GBPHS	large subunit ribosomal protein L15e	K02877	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GBQ0X	lcl|pti:PHATRDRAFT_24186	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GBQ67	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GBQ7H	F-type H+-transporting ATPase subunit gamma	K02136	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GBQZM	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GBR51	lcl|pti:PHATRDRAFT_44529	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GBXTU	inositol monophosphatase	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GC0RY	protein transport protein SEC61 subunit alpha	K10956	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GC2B3	TOP2; topoisomerase (EC:5.99.1.3)	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GC934	coproporphyrinogen III oxidase	K00228	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GC9BL	small subunit ribosomal protein S27Ae	K02977	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GCDU8	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GCFGC	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GCG5F	pyridoxine biosynthesis protein	K06215	Vitamin B6 metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GCGV0	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GCJKC	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GCKK8	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GCLOP	arginine/serine-rich splicing factor RSP41	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GCLX3	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GCP4O	cyclin-dependent kinase regulatory subunit CKS1	K02219	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GCPXI	glutamine synthetase	K01915	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Thalassiosira
lcl|FLDA00M02GCQK5	5-methlytetrahydropteroyltriglutamate-homocysteine methyltransferease	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GCQL3	translation initiation factor eIF-3 subunit 6	K03250	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GCWRP	glutathione reductase (NADPH)	K00383	Glutathione metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GCXJW	26S proteasome regulatory subunit N11	K03030	Proteasome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GCXNS	small subunit ribosomal protein S6e	K02991	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GCZHW	lcl|tps:THAPSDRAFT_20696	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GD19X	molecular chaperone HtpG	K04079	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GD48X	26S proteasome regulatory subunit N6	K03036	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GD50Q	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Thalassiosira
lcl|FLDA00M02GD875	plastidic triose-phosphate/phosphate translocator	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GD8LM	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Thalassiosira
lcl|FLDA00M02GDEZZ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDFDF	large subunit ribosomal protein L4e	K02930	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDFUR	translation initiation factor eIF-3 subunit 9	K03253	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GDG8A	anthranilate synthase component II	K01658	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDGR0	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GDH7E	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GDJ89	large subunit ribosomal protein L10Ae	K02865	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDLZS	molecular chaperone HtpG	K04079	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GDMXV	26S proteasome regulatory subunit N11	K03030	Proteasome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GDNGV	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GDQBK	heat shock 70kDa protein 1/8	K03283	Spliceosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GDR7M	translation elongation factor-1-alpha	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GDTMQ	small subunit ribosomal protein S20e	K02969	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GDX0V	aconitate hydratase 2	K01682	Citrate cycle (TCA cycle)	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDYQW	sedoheptulose-bisphosphatase	K01100	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GDYRK	photosystem II PsbC protein	K02705	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M02GE0VE	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GE35H	stearoyl-CoA desaturase (delta-9 desaturase)	K00507	Biosynthesis of unsaturated fatty acids	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GE3U3	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GE48U	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GE6AH	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GE8GN	geranylgeranyl reductase	K10960	Terpenoid backbone biosynthesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GE9EN	large subunit ribosomal protein L27Ae	K02900	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GECE5	ADP-ribosylation factor 1	K07937	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GEN26	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GEN2M	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GENFF	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GEQVB	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GEVRK	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GEX6G	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GEXID	20S proteasome subunit alpha 2	K02726	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GEXQ5	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GF1UR	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GF477	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GF8TN	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GF9K3	adenosine kinase	K00856	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GFA4O	large subunit ribosomal protein LP0	K02941	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GFAOV	"fructose-1,6-bisphosphatase I"	K03841	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GFBFT	ubiquitin	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GFG0W	3-dehydroquinate synthase	K01735	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GFGDR	V-type H+-transporting ATPase subunit F	K02151	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GFGV6	small subunit ribosomal protein S13e	K02953	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GFIWG	small subunit ribosomal protein S7e	K02993	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GFL47	UDP-sulfoquinovose synthase	K06118	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GFR9E	F-type H+-transporting ATPase subunit epsilon	K02135	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GG2LH	ferredoxin--NADP+ reductase	K02641	Photosynthesis	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GG5CU	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]	K03942	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GG7KF	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GG990	lcl|pti:PHATRDRAFT_26290	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GGA9J	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GGBB8	NADH dehydrogenase I subunit D	K00333	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M02GGBC4	phosphoadenosine phosphosulfate reductase	K00390	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GGCE8	molecular chaperone HtpG	K04079	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GGE9D	lcl|pti:PHATRDRAFT_27518*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGERU	serine/threonine protein phosphatase 2	K07314	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGFUS	phosphoribosylamine--glycine ligase	K01945	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGFXY	photosystem II oxygen-evolving enhancer protein	K08901	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGINP	COP5; coatomer protein subunit delta	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGKQW	large subunit ribosomal protein L22e	K02891	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGO08	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGPK9	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGQJT	CLPP6; catalytic subunit of clp protein superfamily (EC:3.4.21.92)	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GGZRJ	enolase	K01689	Glycolysis / Gluconeogenesis	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GH0C0	lcl|tps:THAPSDRAFT_31705	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GH0UL	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Thalassiosira
lcl|FLDA00M02GH0Y5	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GH545	peptidyl-prolyl isomerase F (cyclophilin F)	K09565	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GH5N9	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GH8CS	"ammonium transporter, Amt family"	K03320	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GH8T4	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GH977	"fructose-bisphosphate aldolase, class I"	K01623	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GHALB	proteasome subunit alpha type 5	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GHFC3	calmodulin	K02183	Phosphatidylinositol signaling system	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GHJ2L	large subunit ribosomal protein L3e	K02925	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GHLIR	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GHMUX	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GHMYC	ferredoxin-nitrite reductase	K00366	Nitrogen metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GHOGJ	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GHR4Y	large subunit ribosomal protein L40e	K02927	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GHUB7	"fructose-bisphosphate aldolase, class I"	K01623	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GHVBS	"similar to actin, gamma 2 propeptide"	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GHW80	Lysosomal trafficking regulator LYST and related BEACH and WD40 repeat proteins (ISS)	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GHXZN	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GHZB9	small subunit ribosomal protein S19e	K02966	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GI0G0	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GI1XY	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GI209	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GI57R	pyridoxine biosynthesis protein	K06215	Vitamin B6 metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GI8IV	small subunit ribosomal protein S20e	K02969	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GIBWP	photosystem II PsbA protein	K02703	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M02GIC0X	lcl|tps:THAPSDRAFT_21916*	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GIFZ3	histone H4	K11254	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GIHKG	small subunit ribosomal protein S5e	K02989	Ribosome	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GIIBU	ferredoxin--NADP+ reductase	K02641	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GIJFZ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIMBY	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIO3H	tubulin alpha	K07374	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GIO3T	"dTDP-glucose 4,6-dehydratase"	K01710	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GIOR6	ER lumen protein retaining receptor	K10949	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIOYG	heat shock 70kDa protein 1/8	K03283	Spliceosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIRZT	F-type H+-transporting ATPase subunit epsilon	K02135	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIS34	molecular chaperone HtpG	K04079	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GISS7	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GITJJ	zinc metalloprotease ZmpB	K08643	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GITRG	ER lumen protein retaining receptor	K10949	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GIWLI	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GIXDX	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	K00264	"Alanine, aspartate and glutamate metabolism"	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GJ03L	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GJ0QC	large subunit ribosomal protein L11e	K02868	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJ113	calmodulin	K02183	Phosphatidylinositol signaling system	bacillariaceae	Thalassiosira
lcl|FLDA00M02GJ3MX	20S proteasome subunit alpha 7	K02727	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJ4G8	coproporphyrinogen III oxidase	K00228	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJ4YK	LUT1-1; lutein deficient 1-like protein	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GJ9H2	large subunit ribosomal protein L26e	K02898	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02GJ9H5	small subunit ribosomal protein S7e	K02993	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GJD0G	large subunit ribosomal protein L10Ae	K02865	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJH1B	lcl|tps:THAPSDRAFT_24099*	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GJJ6G	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GJL6R	ferredoxin component	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJRJO	light-harvesting complex I chlorophyll a/b binding protein 1	K08907	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJSNW	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GJT5Z	elongation factor EF-G	K02355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJVRW	aldose 1-epimerase	K01785	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GJYDQ	lcl|tps:THAPSDRAFT_24669*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GJZ7W	"Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum"	K05853	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GK5B1	triosephosphate isomerase (TIM)	K01803	Glycolysis / Gluconeogenesis	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GK9TR	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GK9WM	V-type H+-transporting ATPase subunit I	K02154	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GKEPZ	alcohol dehydrogenase	K00001	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GKRTS	photosystem II PsbA protein	K02703	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M02GKS9U	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GKSLR	lcl|tps:THAPSDRAFT_7442	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GKUKP	large subunit ribosomal protein L29e	K02905	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GKVRG	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GKVXH	20S proteasome subunit beta 6	K02732	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GKX7D	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GKXGM	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GKYS0	magnesium chelatase	K03403	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GL0WD	COG1028: Dehydrogenases with different specificities (ISS)	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GL2AA	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GL2LA	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GL4TZ	KLTH0H08448p	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GL69R	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GLBMR	GAPD2; glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12)	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GLBVX	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GLCQK	molecular chaperone HtpG	K04079	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GLFZ2	large subunit ribosomal protein L9e	K02940	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GLHQW	glucose-6-phosphate isomerase	K01810	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GLIBW	large subunit ribosomal protein L37Ae	K02921	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GLOJI	hydroxymethylbilane synthase	K01749	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GLRIB	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	K03526	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GLRXZ	ketol-acid reductoisomerase	K00053	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GLU1Z	translation initiation factor eIF-5A	K03263	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GLVB9	small subunit ribosomal protein S8e	K02995	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M02GLVD9	"guanine nucleotide binding protein (G protein), beta 5"	K04539	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GM2UM	large subunit ribosomal protein L11e	K02868	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GM3PG	large subunit ribosomal protein L30e	K02908	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GM4AF	phosphoadenosine-phosphosulphate reductase	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GM56U	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GM8XJ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GM9AV	small subunit ribosomal protein S27Ae	K02977	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GM9VM	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M02GMA86	lcl|tps:THAPSDRAFT_8571*	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M02GMA9I	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GMBFG	protein phosphatase 5	K04460	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GMKQ4	"bile acid:Na+ symporter, BASS family"	K03453	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M02GMRQX	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Fragilariopsis
lcl|FLDA00M02GMTWU	ferredoxin--NADP+ reductase	K02641	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M02GMUTD	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M02GMUXW	tubulin alpha	K07374	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M02GMZXS	photosystem II PsbO protein	K02716	Photosynthesis	bacillariaceae	Pseudo-nitzschia australis
